Movie Title,Num of Rating,Avg Rating
'Til There Was You (1997),9,2.333333333333333
1-900 (1994),5,2.6
101 Dalmatians (1996),109,2.9082568807339446
12 Angry Men (1957),125,4.343999999999999
187 (1997),41,3.024390243902439
2 Days in the Valley (1996),93,3.2258064516129035
"20,000 Leagues Under the Sea (1954)",72,3.5
2001: A Space Odyssey (1968),259,3.9691119691119687
3 Ninjas: High Noon At Mega Mountain (1998),5,1.0
"39 Steps, The (1935)",59,4.050847457627119
8 1/2 (1963),38,3.8157894736842106
8 Heads in a Duffel Bag (1997),4,3.25
8 Seconds (1994),4,3.75
A Chef in Love (1996),8,4.125
Above the Rim (1994),5,3.0
Absolute Power (1997),127,3.37007874015748
"Abyss, The (1989)",151,3.5894039735099335
Ace Ventura: Pet Detective (1994),103,3.0485436893203883
Ace Ventura: When Nature Calls (1995),37,2.675675675675676
Across the Sea of Time (1995),4,2.75
Addams Family Values (1993),87,2.8160919540229883
Addicted to Love (1997),54,3.1666666666666665
"Addiction, The (1995)",11,2.1818181818181817
"Adventures of Pinocchio, The (1996)",39,3.051282051282051
"Adventures of Priscilla, Queen of the Desert, The (1994)",111,3.5945945945945947
"Adventures of Robin Hood, The (1938)",67,3.7910447761194033
"Affair to Remember, An (1957)",26,4.1923076923076925
"African Queen, The (1951)",152,4.1842105263157885
Afterglow (1997),18,3.111111111111111
"Age of Innocence, The (1993)",65,3.3846153846153846
Aiqing wansui (1994),1,5.0
Air Bud (1997),43,2.5581395348837206
Air Force One (1997),431,3.6310904872389793
"Air Up There, The (1994)",16,2.8125
Airheads (1994),32,2.34375
Akira (1988),50,3.38
Aladdin (1992),219,3.8127853881278537
Aladdin and the King of Thieves (1996),26,2.8461538461538463
Alaska (1996),13,2.6923076923076925
Albino Alligator (1996),6,2.5
Alice in Wonderland (1951),81,3.6666666666666665
Alien (1979),291,4.034364261168385
Alien 3 (1992),100,2.83
Alien: Resurrection (1997),124,3.0967741935483866
Aliens (1986),284,3.9471830985915495
All About Eve (1950),66,4.045454545454546
All Dogs Go to Heaven 2 (1996),15,1.8666666666666667
All Over Me (1997),3,3.0
All Things Fair (1996),1,3.0
Alphaville (1965),12,3.333333333333333
Amadeus (1984),276,4.163043478260869
Amateur (1994),18,3.1666666666666665
"Amazing Panda Adventure, The (1995)",10,2.8
American Buffalo (1996),11,2.636363636363636
American Dream (1990),2,2.5
"American President, The (1995)",164,3.6280487804878048
American Strays (1996),2,2.0
"American Werewolf in London, An (1981)",99,3.5353535353535355
"American in Paris, An (1951)",50,3.7
Amistad (1997),124,3.85483870967742
Amityville 1992: It's About Time (1992),5,1.0
Amityville 3-D (1983),6,1.1666666666666667
"Amityville Curse, The (1990)",4,1.25
"Amityville Horror, The (1979)",53,2.5660377358490565
Amityville II: The Possession (1982),14,1.6428571428571428
Amityville: A New Generation (1993),5,1.0
Amityville: Dollhouse (1996),3,1.0
Amos & Andrew (1993),19,2.6842105263157894
An Unforgettable Summer (1994),4,2.5
Anaconda (1997),38,2.2894736842105257
Anastasia (1997),66,3.4242424242424243
Andre (1994),18,3.111111111111111
Angel Baby (1995),4,3.75
Angel and the Badman (1947),6,3.0
Angel on My Shoulder (1946),1,2.0
Angela (1995),1,3.0
Angels and Insects (1995),72,3.4166666666666665
Angels in the Outfield (1994),39,2.9230769230769234
Angus (1995),14,2.642857142857143
Anna (1996),2,4.5
Anna Karenina (1997),33,3.0909090909090913
Anne Frank Remembered (1995),21,3.8571428571428568
Annie Hall (1977),180,3.911111111111111
Another Stakeout (1993),28,2.5
Antonia's Line (1995),69,3.9565217391304346
Aparajito (1956),7,3.571428571428572
"Apartment, The (1960)",63,3.936507936507936
Apocalypse Now (1979),221,4.04524886877828
Apollo 13 (1995),276,3.931159420289855
"Apostle, The (1997)",55,3.654545454545455
"Apple Dumpling Gang, The (1975)",25,2.84
April Fool's Day (1986),15,2.6666666666666665
Apt Pupil (1998),160,4.1
"Aristocats, The (1970)",54,3.1296296296296298
Army of Darkness (1993),116,3.431034482758621
Around the World in 80 Days (1956),59,3.6610169491525424
"Arrival, The (1996)",83,3.036144578313253
Arsenic and Old Lace (1944),115,4.0782608695652165
As Good As It Gets (1997),112,4.196428571428571
Assassins (1995),39,2.8717948717948723
"Assignment, The (1997)",18,3.5
"Associate, The (1996)",41,3.2439024390243905
Audrey Rose (1977),12,2.1666666666666665
August (1996),1,1.0
Austin Powers: International Man of Mystery (1997),130,3.246153846153846
"Awfully Big Adventure, An (1995)",8,2.375
Ayn Rand: A Sense of Life (1997),7,3.1428571428571432
B*A*P*S (1997),3,1.6666666666666667
B. Monkey (1998),1,3.0
Babe (1995),219,3.9954337899543377
"Baby-Sitters Club, The (1995)",10,2.5
Babyfever (1994),2,1.0
"Babysitter, The (1995)",3,2.333333333333333
Back to the Future (1985),350,3.834285714285714
Backbeat (1993),19,3.4736842105263164
Bad Boys (1995),57,3.1052631578947367
Bad Company (1995),9,2.2222222222222223
Bad Girls (1994),6,1.8333333333333333
Bad Moon (1996),6,2.6666666666666665
Bad Taste (1987),16,3.375
"Ballad of Narayama, The (Narayama Bushiko) (1958)",4,2.75
Balto (1995),16,3.0
Bananas (1971),57,3.701754385964912
"Band Wagon, The (1953)",9,3.6666666666666665
Barb Wire (1996),30,1.9333333333333331
Barbarella (1968),28,2.571428571428572
Barcelona (1994),53,3.018867924528302
Basic Instinct (1992),101,3.2277227722772284
"Basketball Diaries, The (1995)",40,3.425
Basquiat (1996),44,3.25
Bastard Out of Carolina (1996),16,2.875
Batman & Robin (1997),62,2.4516129032258065
Batman (1989),201,3.4278606965174134
Batman Forever (1995),114,2.6666666666666665
Batman Returns (1992),142,2.683098591549296
Baton Rouge (1988),1,1.0
Bean (1997),91,2.659340659340659
"Beans of Egypt, Maine, The (1994)",2,3.5
Beat the Devil (1954),7,3.7142857142857135
"Beautician and the Beast, The (1997)",86,2.313953488372093
Beautiful Girls (1996),115,3.391304347826087
Beautiful Thing (1996),29,3.9655172413793114
Beauty and the Beast (1991),202,3.792079207920792
Beavis and Butt-head Do America (1996),156,2.7884615384615383
